"Space","Method","InceptionFID","MNISTFID","KIDzX1000","KIDrawX1000","NFE","TrainSeconds","SelectedTau","ValidationMetric","ValidationScore"
"pixel","MeanFlow","68.8303463054457","1.68568130998967","82.5821028258618","30.5823953774706","1","347.670228719711","","mnist_fid","1.7322408425146967"
"pixel","Drifting","91.0063471621597","1.49739544396546","55.5997377348529","21.736691125249","1","106.664090633392","","",""
"pixel","ShortcutFlow","122.884014923545","4.56901490898772","211.687841150686","88.2112550508067","1","138.717077732086","","mnist_fid","5.114374887170031"
"pixel","WBVM-single","165.69158454648","6.55487988475405","257.337437625586","107.750579555243","1","74.5505146980286","0.1","mnist_fid","6.65656583044699"
"pixel","WBVM-all","192.960530920996","7.73532714028972","331.197697129045","148.924848044243","1","97.6733825206757","","",""
"latent","MeanFlow","215.374812440929","5.39904307388007","212.410963579836","82.6181487167374","1","294.354543209076","","mnist_fid","5.345743730202679"
"latent","ShortcutFlow","219.208624928553","5.84625925298614","215.610569349461","76.08796943686","1","125.168998003006","","mnist_fid","5.731613474249485"
"latent","WBVM-single","219.806016865281","6.56988261695861","219.303068152046","81.0330927529999","1","72.0641417503357","0.1","mnist_fid","6.621280962646458"
"latent","WBVM-all","222.231598402109","10.3691501462938","373.371366003635","160.626978123862","1","93.8951268196106","","",""
"latent","Drifting","296.293360343579","47.2892344716339","1691.22987029039","986.303527243833","1","94.3147442340851","","",""
